#,AI,Cr,Mn,Fe,Ni,Cu,Zn,As,Se,Mo,Ag,Cd,Hg,Pb
1,5.648,0.933,201.386,47.555,0.679,1.487,19.496,0.178,0.493,1.117,0.029,2.75,0,0.276
2,3.587,0.291,9.96,21.942,0.584,1.962,11.68,0.145,0.798,3.342,0.047,0.32,0.043,0.165
3,16.399,0.05,516.792,18.176,0.895,1.358,46.909,0.039,0.161,3.495,0.031,0.84,0.04,0.263
4,6.484,1.172,3.468,23.398,0.474,1.804,11.152,0.112,0.338,1.476,0.046,0.044,0,0.199
5,3.328,0.312,4.268,13.732,0.444,1.374,18.195,0.307,0.583,2.124,0.028,0.095,0,0.204
6,25.904,0.248,2106.098,37.532,2.291,1.532,12.738,0.738,0.197,9.828,0.028,0.08,0,0.166
7,3.965,0.223,16.152,16.347,0.61,2.121,13.229,0.791,0.899,9.458,0.058,0.147,0.007,0.132
8,3.508,0.054,23.797,6.938,0.423,0.613,115.239,1.749,0.074,0.393,0,0.093,0,0.016
9,2.094,0.04,21.79,2.219,0.691,0.413,107.314,0.082,0.144,0.345,0,0.034,0,0.252
10,1.853,0.105,21.233,10.921,1.727,2.692,93.84,0.924,0.021,1.051,0,0.08,0,0.133
11,2.818,0.092,48.298,2.645,0.695,1.226,82.963,0.091,0.07,0.684,0,0.074,0,0.176
12,24.986,0.155,2.806,15.683,1.206,13.709,211.236,0.721,0.126,2.154,0,0.514,0,0.366
13,2.349,0.055,150.997,4.221,2.09,2.107,227.822,0.043,0.417,7.385,0,0.18,0.002,0.103
14,38.111,0.138,8.75,31.883,1.113,9.091,170.231,0.704,0.151,1.403,0,0.381,0,0.325
15,0,0.074,0.105,0,0.3,0.426,56.77,0.069,0.154,4.151,0,0.063,0.04,0
16,10.321,0.393,1.823,9.983,1.917,6.758,171.975,1.015,0.154,2.059,0.178,0.464,0.099,1.414
17,2.842,0.04,6.616,11.486,0.302,1.881,94.917,0.357,0.044,0.424,0,0.043,0.055,0.092
18,0.232,0.069,4.54,1.064,0.938,0.831,95.003,0.125,1.107,1.404,0.019,0.071,0.057,0.094
19,5.478,0.132,0.875,6.284,0.74,2.73,124.349,1.281,0.014,1.065,0,0.127,0.018,0.166
